"tokens","first_words","last_word_expected"
"after_the_bavarian","after_the","bavarian"
"an_image_of","an_image","of"
"and_guards_it","and_guards","it"
"attempt_to_publish","attempt_to","publish"
"bans_mein_kampf","bans_mein","kampf"
"but_the_government","but_the","government"
"copyright_and_guards","copyright_and","guards"
"germany_but_the","germany_but","the"
"government_of_bavaria","government_of","bavaria"
"guards_it_ferociously","guards_it","ferociously"
"holds_the_copyright","holds_the","copyright"
"in_germany_but","in_germany","but"
"kampf_in_germany","kampf_in","germany"
"law_bans_mein","law_bans","mein"
"mein_kampf_in","mein_kampf","in"
"no_law_bans","no_law","bans"
"of_mein_kampf","of_mein","kampf"
"of_the_book","of_the","book"
"of_the_nazi","of_the","nazi"
"the_bavarian_government","the_bavarian","government"
"the_copyright_and","the_copyright","and"
"the_government_of","the_government","of"
"version_of_the","version_of","the"
